chapter,italian,chinese,pronunciation,example_it,example_zh,note,image,source_name,source_url,license_note,copyright_status,word_id
交通标志与图形 - 路口优先顺序,ordine di precedenza:  e - c - l,通行优先顺序：E - C - L,,Figura n. 661: ordine di precedenza:  e - c - l.,图形 661 表示：通行优先顺序：E - C - L。,图形编号 s661；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s661.gif,rmastri.it,https://www.rmastri.it/42/immagini/s661.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000383
交通标志与图形 - 路口优先顺序,ordine di precedenza:  a - e - b,通行优先顺序：A - E - B,,Figura n. 662: ordine di precedenza:  a - e - b.,图形 662 表示：通行优先顺序：A - E - B。,图形编号 s662；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s662.gif,rmastri.it,https://www.rmastri.it/42/immagini/s662.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000384
交通标志与图形 - 路口优先顺序,ordine di precedenza:  r - b - d - t,通行优先顺序：R - B - D - T,,Figura n. 663: ordine di precedenza:  r - b - d - t.,图形 663 表示：通行优先顺序：R - B - D - T。,图形编号 s663；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s663.gif,rmastri.it,https://www.rmastri.it/42/immagini/s663.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000385
交通标志与图形 - 路口优先顺序,ordine di precedenza:  s - b - l - d,通行优先顺序：S - B - L - D,,Figura n. 664: ordine di precedenza:  s - b - l - d.,图形 664 表示：通行优先顺序：S - B - L - D。,图形编号 s664；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s664.gif,rmastri.it,https://www.rmastri.it/42/immagini/s664.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000386
交通标志与图形 - 路口优先顺序,ordine di precedenza:  a - e - v - h - c,通行优先顺序：A - E - V - H - C,,Figura n. 665: ordine di precedenza:  a - e - v - h - c.,图形 665 表示：通行优先顺序：A - E - V - H - C。,图形编号 s665；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s665.gif,rmastri.it,https://www.rmastri.it/42/immagini/s665.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000387
交通标志与图形 - 路口优先顺序,ordine di precedenza:  c - a - p,通行优先顺序：C - A - P,,Figura n. 667: ordine di precedenza:  c - a - p.,图形 667 表示：通行优先顺序：C - A - P。,图形编号 s667；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s667.gif,rmastri.it,https://www.rmastri.it/42/immagini/s667.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000388
交通标志与图形 - 路口优先顺序,ordine di precedenza:  s - n - c,通行优先顺序：S - N - C,,Figura n. 668: ordine di precedenza:  s - n - c.,图形 668 表示：通行优先顺序：S - N - C。,图形编号 s668；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s668.gif,rmastri.it,https://www.rmastri.it/42/immagini/s668.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000389
交通标志与图形 - 路口优先顺序,ordine di precedenza:  c - a - l - r - e,通行优先顺序：C - A - L - R - E,,Figura n. 669: ordine di precedenza:  c - a - l - r - e.,图形 669 表示：通行优先顺序：C - A - L - R - E。,图形编号 s669；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s669.gif,rmastri.it,https://www.rmastri.it/42/immagini/s669.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000390
交通标志与图形 - 路口优先顺序,segnalazione di divieto di sosta posta sul bordo del marciapiede,人行道边缘的禁止停车标示。,,Figura n. 670: segnalazione di divieto di sosta posta sul bordo del marciapiede.,该标示提醒车辆不得在对应路缘位置停车。,图形编号 s670；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s670.gif,rmastri.it,https://www.rmastri.it/42/immagini/s670.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000391
交通标志与图形 - 路口优先顺序,"il veicolo s che prosegue in retromarcia deve moderare la velocità, azionare gli indicatori di direzione e dare la precedenza",倒车车辆应减速、开启转向灯并让行。,,"Figura n. 676: il veicolo s che prosegue in retromarcia deve moderare la velocità, azionare gli indicatori di direzione e dare la precedenza.",车辆倒车继续行驶时，应降低速度，使用方向指示灯，并让其他车辆先行。,图形编号 s676；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s676.gif,rmastri.it,https://www.rmastri.it/42/immagini/s676.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000392
交通标志与图形 - 灯光与仪表符号,proiettore abbagliante,远光灯。,,Figura n. 690: proiettore abbagliante.,图形 690 表示车辆远光灯。,图形编号 s690；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s690.gif,rmastri.it,https://www.rmastri.it/42/immagini/s690.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000393
交通标志与图形 - 灯光与仪表符号,proiettore anabbagliante asimmetrico errato,错误的非对称近光灯光束。,,Figura n. 693: proiettore anabbagliante asimmetrico errato.,该图表示近光灯光束方向或形状不正确。,图形编号 s693；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s693.gif,rmastri.it,https://www.rmastri.it/42/immagini/s693.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000394
交通标志与图形 - 灯光与仪表符号,proiettore anabbagliante asimmetrico corretto,正确的非对称近光灯光束。,,Figura n. 694: proiettore anabbagliante asimmetrico corretto.,该图表示近光灯光束方向或形状正确。,图形编号 s694；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s694.gif,rmastri.it,https://www.rmastri.it/42/immagini/s694.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000395
交通标志与图形 - 灯光与仪表符号,simbolo proiettori abbaglianti (spia colore blu),远光灯符号，蓝色指示灯。,,Figura n. 695: simbolo proiettori abbaglianti (spia colore blu).,图形 695 表示远光灯开启时的蓝色仪表指示灯。,图形编号 s695；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s695.gif,rmastri.it,https://www.rmastri.it/42/immagini/s695.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000396
交通标志与图形 - 灯光与仪表符号,simbolo proiettori anabbaglianti (spia colore verde),近光灯符号，绿色指示灯。,,Figura n. 696: simbolo proiettori anabbaglianti (spia colore verde).,图形 696 表示近光灯开启时的绿色仪表指示灯。,图形编号 s696；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s696.gif,rmastri.it,https://www.rmastri.it/42/immagini/s696.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000397
交通标志与图形 - 灯光与仪表符号,simbolo degli indicatori di direzione (spia acustica e spia luminosa di colore verde),转向灯符号，绿色声光指示。,,Figura n. 697: simbolo degli indicatori di direzione (spia acustica e spia luminosa di colore verde).,图形 697 表示转向灯工作时的绿色声光提示。,图形编号 s697；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s697.gif,rmastri.it,https://www.rmastri.it/42/immagini/s697.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000398
交通标志与图形 - 灯光与仪表符号,simbolo del segnale di emergenza: accensione di tutti gli indicatori di direzione (spia colore rosso),危险报警闪光灯符号：所有转向灯同时闪烁，红色指示灯。,,Figura n. 698: simbolo del segnale di emergenza: accensione di tutti gli indicatori di direzione (spia colore rosso).,图形 698 表示车辆危险报警灯开启时的仪表符号。,图形编号 s698；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s698.gif,rmastri.it,https://www.rmastri.it/42/immagini/s698.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000399
交通标志与图形 - 灯光与仪表符号,simbolo del tergicristallo anteriore (posto su comando),前风挡雨刷控制符号。,,Figura n. 699: simbolo del tergicristallo anteriore (posto su comando).,图形 699 表示前风挡雨刷控制装置。,图形编号 s699；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s699.gif,rmastri.it,https://www.rmastri.it/42/immagini/s699.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000400
交通标志与图形 - 灯光与仪表符号,simbolo del tergi-lavacristallo anteriore (posto su comando),前风挡雨刷和清洗器控制符号。,,Figura n. 701: simbolo del tergi-lavacristallo anteriore (posto su comando).,图形 701 表示前风挡雨刷或清洗器的控制符号。,图形编号 s701；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s701.gif,rmastri.it,https://www.rmastri.it/42/immagini/s701.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000401
交通标志与图形 - 灯光与仪表符号,simbolo dell’avvisatore acustico: clacson o tromba (posto su comando),喇叭控制符号。,,Figura n. 702: simbolo dell’avvisatore acustico: clacson o tromba (posto su comando).,图形 702 表示车辆喇叭或警音装置的控制符号。,图形编号 s702；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s702.gif,rmastri.it,https://www.rmastri.it/42/immagini/s702.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000402
交通标志与图形 - 灯光与仪表符号,simbolo della riserva carburante (spia colore giallo),燃油不足指示灯，黄色。,,Figura n. 703: simbolo della riserva carburante (spia colore giallo).,图形 703 表示燃油储备不足或燃油量低的黄色指示灯。,图形编号 s703；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s703.gif,rmastri.it,https://www.rmastri.it/42/immagini/s703.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000403
交通标志与图形 - 灯光与仪表符号,simbolo della temperatura eccessiva dell’acqua (spia colore rosso),冷却液温度过高指示灯，红色。,,Figura n. 704: simbolo della temperatura eccessiva dell’acqua (spia colore rosso).,图形 704 表示发动机冷却液温度过高的红色指示灯。,图形编号 s704；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s704.gif,rmastri.it,https://www.rmastri.it/42/immagini/s704.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000404
交通标志与图形 - 灯光与仪表符号,simbolo della batteria: anomalia della dinamo o dell’alternatore (spia colore rosso),电瓶或发电系统异常指示灯，红色。,,Figura n. 705: simbolo della batteria: anomalia della dinamo o dell’alternatore (spia colore rosso).,图形 705 表示电瓶、发电机或交流发电机系统异常。,图形编号 s705；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s705.gif,rmastri.it,https://www.rmastri.it/42/immagini/s705.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000405
交通标志与图形 - 灯光与仪表符号,simbolo della pressione bassa dell’olio (spia colore rosso),机油压力过低指示灯，红色。,,Figura n. 706: simbolo della pressione bassa dell’olio (spia colore rosso).,图形 706 表示发动机机油压力过低。,图形编号 s706；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s706.gif,rmastri.it,https://www.rmastri.it/42/immagini/s706.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000406
交通标志与图形 - 灯光与仪表符号,simbolo del lunotto termico posteriore (spia colore giallo),后窗加热除雾指示灯，黄色。,,Figura n. 708: simbolo del lunotto termico posteriore (spia colore giallo).,图形 708 表示后车窗加热除雾功能开启。,图形编号 s708；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s708.gif,rmastri.it,https://www.rmastri.it/42/immagini/s708.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000407
交通标志与图形 - 灯光与仪表符号,simbolo di sbrinamento del parabrezza anteriore (spia colore giallo),前风挡除霜指示灯，黄色。,,Figura n. 709: simbolo di sbrinamento del parabrezza anteriore (spia colore giallo).,图形 709 表示前风挡除霜或除雾功能开启。,图形编号 s709；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s709.gif,rmastri.it,https://www.rmastri.it/42/immagini/s709.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000408
交通标志与图形 - 灯光与仪表符号,simbolo dei fendinebbia posteriori (spia colore giallo),后雾灯符号，黄色指示灯。,,Figura n. 717: simbolo dei fendinebbia posteriori (spia colore giallo).,图形 717 表示后雾灯开启时的黄色指示灯。,图形编号 s717；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s717.gif,rmastri.it,https://www.rmastri.it/42/immagini/s717.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000409
交通标志与图形 - 灯光与仪表符号,simbolo dei fendinebbia anteriori (spia colore verde),前雾灯符号，绿色指示灯。,,Figura n. 718: simbolo dei fendinebbia anteriori (spia colore verde).,图形 718 表示前雾灯开启时的绿色指示灯。,图形编号 s718；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s718.gif,rmastri.it,https://www.rmastri.it/42/immagini/s718.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000410
交通标志与图形 - 灯光与仪表符号,simbolo del freno di stazionamento inserito (spia colore rosso),驻车制动已启用指示灯，红色。,,Figura n. 720: simbolo del freno di stazionamento inserito (spia colore rosso).,图形 720 表示驻车制动器处于启用状态。,图形编号 s720；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s720.gif,rmastri.it,https://www.rmastri.it/42/immagini/s720.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000411
交通标志与图形 - 灯光与仪表符号,simbolo funzionamento difettoso del sistema frenante (spia colore rosso),制动系统故障指示灯，红色。,,Figura n. 721: simbolo funzionamento difettoso del sistema frenante (spia colore rosso).,图形 721 表示车辆制动系统可能存在故障。,图形编号 s721；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s721.gif,rmastri.it,https://www.rmastri.it/42/immagini/s721.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000412
交通标志与图形,segnale di strada deformata integrato con pannello estesa,路面不平标志，附范围长度辅助牌。,,Figura n. 901: segnale di strada deformata integrato con pannello estesa.,该组合标志提醒路面不平，并说明影响路段的长度。,图形编号 s901；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s901.gif,rmastri.it,https://www.rmastri.it/42/immagini/s901.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000413
交通标志与图形,segnale di strada deformata integrato con pannello distanza,路面不平标志，附距离辅助牌。,,Figura n. 902: segnale di strada deformata integrato con pannello distanza.,该组合标志提醒前方一定距离处有路面不平。,图形编号 s902；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s902.gif,rmastri.it,https://www.rmastri.it/42/immagini/s902.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000414
交通标志与图形,segnale di strada deformata integrato con pannello di fine,路面不平标志，附结束辅助牌。,,Figura n. 903: segnale di strada deformata integrato con pannello di fine.,该组合标志表示路面不平危险路段结束。,图形编号 s903；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s903.gif,rmastri.it,https://www.rmastri.it/42/immagini/s903.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000415
交通标志与图形,segnale di cunetta integrato con pannello allagamento,凹陷路段标志，附加积水辅助牌。,,Figura n. 904: segnale di cunetta integrato con pannello allagamento.,图形 904 表示前方可能有路面凹陷并伴随积水风险。,图形编号 s904；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s904.gif,rmastri.it,https://www.rmastri.it/42/immagini/s904.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000416
交通标志与图形,segnale di doppia curva integrato con pannello distanza,双弯道标志，附距离辅助牌。,,Figura n. 905: segnale di doppia curva integrato con pannello distanza.,该组合标志提醒前方一定距离处有连续弯道。,图形编号 s905；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s905.gif,rmastri.it,https://www.rmastri.it/42/immagini/s905.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000417
交通标志与图形,segnale di doppia curva integrato con pannello estesa,双弯道标志，附范围长度辅助牌。,,Figura n. 906: segnale di doppia curva integrato con pannello estesa.,该组合标志提醒连续弯道会持续一段路。,图形编号 s906；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s906.gif,rmastri.it,https://www.rmastri.it/42/immagini/s906.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000418
交通标志与图形,segnale di doppia curva integrato con pannello estesa,双弯道标志，附范围长度辅助牌。,,Figura n. 907: segnale di doppia curva integrato con pannello estesa.,该组合标志提醒连续弯道会持续一段路。,图形编号 s907；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s907.gif,rmastri.it,https://www.rmastri.it/42/immagini/s907.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000419
交通标志与图形,doppia croce di s.andrea (a) e segnale di fermarsi e dare precedenza (b),双圣安德烈十字标志和停车让行标志。,,Figura n. 908: doppia croce di s.andrea (a) e segnale di fermarsi e dare precedenza (b).,图形 908 中 A 表示双圣安德烈十字，B 表示停车让行标志。,图形编号 s908；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s908.gif,rmastri.it,https://www.rmastri.it/42/immagini/s908.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000420
交通标志与图形,doppia croce di s.andrea (a) e segnale di passaggio a livello con barriere o semibarriere (b),双圣安德烈十字标志和带栏杆的铁路平交道口标志。,,Figura n. 909: doppia croce di s.andrea (a) e segnale di passaggio a livello con barriere o semibarriere (b).,图形 909 中 A 表示双圣安德烈十字，B 表示带栏杆或半栏杆的铁路平交道口。,图形编号 s909；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s909.gif,rmastri.it,https://www.rmastri.it/42/immagini/s909.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000421
交通标志与图形,pannelli distanziometrici (a) e segnale di passaggio a livello con barriere o semibarriere (b),距离提示牌和带栏杆的铁路平交道口标志。,,Figura n. 910: pannelli distanziometrici (a) e segnale di passaggio a livello con barriere o semibarriere (b).,图形 910 中 A 表示铁路道口距离提示牌，B 表示带栏杆或半栏杆的铁路平交道口。,图形编号 s910；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s910.gif,rmastri.it,https://www.rmastri.it/42/immagini/s910.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000422
交通标志与图形,pannelli distanziometrici (a) e croce di s.andrea (b),距离提示牌和圣安德烈十字标志。,,Figura n. 911: pannelli distanziometrici (a) e croce di s.andrea (b).,图形 911 中 A 表示铁路道口距离提示牌，B 表示圣安德烈十字标志。,图形编号 s911；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s911.gif,rmastri.it,https://www.rmastri.it/42/immagini/s911.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000423
交通标志与图形,segnali di strettoia simmetrica (a) e di dare precedenza nei sensi unici alternati (b),双向道路变窄标志和交替单行让行标志。,,Figura n. 912: segnali di strettoia simmetrica (a) e di dare precedenza nei sensi unici alternati (b).,图形 912 中 A 表示道路两侧变窄，B 表示交替单行时需让对向车辆先行。,图形编号 s912；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s912.gif,rmastri.it,https://www.rmastri.it/42/immagini/s912.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000424
交通标志与图形,segnali di strettoia simmetrica (a) e di diritto di precedenza nei sensi unici alternati (b),双向道路变窄标志和交替单行优先通行标志。,,Figura n. 913: segnali di strettoia simmetrica (a) e di diritto di precedenza nei sensi unici alternati (b).,图形 913 中 A 表示道路两侧变窄，B 表示交替单行时本方向享有优先通行。,图形编号 s913；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s913.gif,rmastri.it,https://www.rmastri.it/42/immagini/s913.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000425
交通标志与图形,segnale di strada sdrucciolevole integrato con pannello di continuazione,路面湿滑标志，附持续辅助牌。,,Figura n. 914: segnale di strada sdrucciolevole integrato con pannello di continuazione.,该组合标志提醒湿滑危险仍会持续一段路。,图形编号 s914；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s914.gif,rmastri.it,https://www.rmastri.it/42/immagini/s914.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000426
交通标志与图形,segnale di strada sdrucciolevole integrato con pannello di fine,路面湿滑标志，附结束辅助牌。,,Figura n. 915: segnale di strada sdrucciolevole integrato con pannello di fine.,该组合标志表示湿滑危险路段结束。,图形编号 s915；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s915.gif,rmastri.it,https://www.rmastri.it/42/immagini/s915.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000427
交通标志与图形,segnale di strada sdrucciolevole integrato con pannello causa ghiaccio,路面湿滑标志，附结冰原因辅助牌。,,Figura n. 916: segnale di strada sdrucciolevole integrato con pannello causa ghiaccio.,该组合标志提醒路面可能因结冰而湿滑。,图形编号 s916；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s916.gif,rmastri.it,https://www.rmastri.it/42/immagini/s916.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000428
交通标志与图形,segnale di strada sdrucciolevole (a) pannello integrativo causa ghiaccio,湿滑道路危险标志，辅助牌说明原因是结冰。,,Figura n. 917: segnale di strada sdrucciolevole (a) pannello integrativo causa ghiaccio.,图形 917 表示道路可能因结冰而湿滑。,图形编号 s917；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s917.gif,rmastri.it,https://www.rmastri.it/42/immagini/s917.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000429
交通标志与图形,segnale di strada sdrucciolevole (a) pannello integrativo causa pioggia,湿滑道路危险标志，辅助牌说明原因是下雨。,,Figura n. 918: segnale di strada sdrucciolevole (a) pannello integrativo causa pioggia.,图形 918 表示道路可能因雨水而湿滑。,图形编号 s918；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s918.gif,rmastri.it,https://www.rmastri.it/42/immagini/s918.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000430
交通标志与图形,segnale di pericolo generico integrato con pannello attraversamento binari,一般危险标志，附铁路轨道穿越辅助牌。,,Figura n. 919: segnale di pericolo generico integrato con pannello attraversamento binari.,该组合标志提醒前方有一般危险，并补充说明与铁路轨道穿越有关。,图形编号 s919；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s919.gif,rmastri.it,https://www.rmastri.it/42/immagini/s919.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000431
交通标志与图形,segnale di pericolo generico (a) e pannello integrativo attraversamento binari (b),一般危险标志和铁路轨道穿越辅助牌。,,Figura n. 920: segnale di pericolo generico (a) e pannello integrativo attraversamento binari (b).,该组合图形包含一般危险标志和提示铁路轨道穿越的辅助牌。,图形编号 s920；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s920.gif,rmastri.it,https://www.rmastri.it/42/immagini/s920.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000432
交通标志与图形,segnale di pericolo generico (a) e pannello integrativo sgombraneve in azione (b),一般危险标志，辅助牌提示前方有除雪车作业。,,Figura n. 921: segnale di pericolo generico (a) e pannello integrativo sgombraneve in azione (b).,图形 921 表示需要注意正在作业的除雪车辆。,图形编号 s921；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s921.gif,rmastri.it,https://www.rmastri.it/42/immagini/s921.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000433
交通标志与图形,segnale di pericolo generico (a) e pannello integrativo mezzi di lavoro in azione (b),一般危险标志，辅助牌提示前方有工程车辆作业。,,Figura n. 922: segnale di pericolo generico (a) e pannello integrativo mezzi di lavoro in azione (b).,图形 922 表示道路附近可能有施工或作业车辆。,图形编号 s922；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s922.gif,rmastri.it,https://www.rmastri.it/42/immagini/s922.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000434
交通标志与图形,segnale di pericolo generico (a) e pannello integrativo causa ghiaccio,一般危险标志，辅助牌提示危险原因是结冰。,,Figura n. 923: segnale di pericolo generico (a) e pannello integrativo causa ghiaccio.,图形 923 表示前方一般危险与结冰有关。,图形编号 s923；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s923.gif,rmastri.it,https://www.rmastri.it/42/immagini/s923.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000435
交通标志与图形 - 辅助牌,segnale di divieto di transito integrato con pannello fascia oraria di tutti i giorni,禁止通行标志，附加每天适用的时间段。,,Figura n. 924: segnale di divieto di transito integrato con pannello fascia oraria di tutti i giorni.,图形 924 表示禁止通行在每天指定时间内有效。,图形编号 s924；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s924.gif,rmastri.it,https://www.rmastri.it/42/immagini/s924.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000436
交通标志与图形 - 辅助牌,segnale di divieto di transito integrato con pannello fascia oraria dei giorni festivi,禁止通行标志，附加节假日适用的时间段。,,Figura n. 925: segnale di divieto di transito integrato con pannello fascia oraria dei giorni festivi.,图形 925 表示禁止通行在节假日指定时间内有效。,图形编号 s925；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s925.gif,rmastri.it,https://www.rmastri.it/42/immagini/s925.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000437
交通标志与图形 - 辅助牌,segnale di divieto di transito integrato con pannello di limitazione,禁止通行标志，附加限制条件辅助牌。,,Figura n. 926: segnale di divieto di transito integrato con pannello di limitazione.,图形 926 表示禁止通行另有具体限制条件。,图形编号 s926；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s926.gif,rmastri.it,https://www.rmastri.it/42/immagini/s926.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000438
交通标志与图形 - 辅助牌,segnale di senso vietato integrato con pannello di eccezione,禁止驶入标志，附例外辅助牌。,,Figura n. 927: segnale di senso vietato integrato con pannello di eccezione.,该组合标志表示一般禁止驶入，但辅助牌说明可能存在例外车辆或情况。,图形编号 s927；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s927.gif,rmastri.it,https://www.rmastri.it/42/immagini/s927.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000439
交通标志与图形 - 辅助牌,segnale di divieto di transito integrato con pannello fascia oraria dei giorni lavorativi,禁止通行标志，附加工作日适用的时间段。,,Figura n. 928: segnale di divieto di transito integrato con pannello fascia oraria dei giorni lavorativi.,图形 928 表示禁止通行在工作日指定时间内有效。,图形编号 s928；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s928.gif,rmastri.it,https://www.rmastri.it/42/immagini/s928.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000440
交通标志与图形 - 辅助牌,segnale di senso vietato integrato con pannello di eccezione,禁止驶入标志，附例外辅助牌。,,Figura n. 929: segnale di senso vietato integrato con pannello di eccezione.,该组合标志表示禁止驶入，并通过辅助牌说明例外情况。,图形编号 s929；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s929.gif,rmastri.it,https://www.rmastri.it/42/immagini/s929.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000441
交通标志与图形 - 辅助牌,segnale di divieto di sorpasso integrato con pannello di continuazione,禁止超车标志，附加连续适用辅助牌。,,Figura n. 930: segnale di divieto di sorpasso integrato con pannello di continuazione.,图形 930 表示禁止超车路段仍在继续。,图形编号 s930；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s930.gif,rmastri.it,https://www.rmastri.it/42/immagini/s930.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000442
